player,team,league,position,age,minutes,goals,assists,xg,xag,npxg,shots_p90,shots_on_target_p90,prog_carries,prog_passes,prog_receptions,key_passes,xa,pass_completion_pct,tackles_won,interceptions,clearances,carries,touches,goals_p90,assists_p90,xg_p90,xag_p90,npxg_p90,prog_carries_p90,prog_passes_p90,prog_receptions_p90,key_passes_p90,xa_p90,tackles_won_p90,interceptions_p90,clearances_p90,carries_p90,touches_p90,goals_zscore,assists_zscore,xg_zscore,xag_zscore,npxg_zscore,prog_carries_zscore,prog_passes_zscore,prog_receptions_zscore,key_passes_zscore,xa_zscore,tackles_won_zscore,interceptions_zscore,clearances_zscore,carries_zscore,touches_zscore,shots_zscore,shots_on_target_zscore,pass_completion_zscore
Martin Agirregabiria,Alavés,La Liga,DF,21.0,1828.0,0.0,4.0,0.1,1.5,0.1,,,24.0,,54.0,11.0,1.1,68.9,33.0,41.0,66.0,476.0,1114.0,0.0,0.19693654266958424,0.004923413566739606,0.07385120350109409,0.004923413566739606,1.1816192560175054,,2.6586433260393876,0.5415754923413567,0.05415754923413567,1.6247264770240701,2.0185995623632387,3.2494529540481403,23.435448577680525,54.846827133479216,-0.7134280893521948,1.230848452654069,-0.809735249418157,-0.14006156886362425,-0.8259960728247951,-0.21295410074742102,,-0.1711309724349475,-0.3982071109625149,-0.3261641033414094,1.4187477669256636,1.9716899791392741,1.0945210818366693,-0.26994250274283554,0.341949085378167,,,-0.8856473021871737
Alexis,Alavés,La Liga,DF,31.0,2184.0,1.0,0.0,1.2,0.3,1.2,,,5.0,,11.0,3.0,0.1,73.8,24.0,30.0,114.0,360.0,984.0,0.04120879120879121,0.0,0.04945054945054945,0.012362637362637362,0.04945054945054945,0.20604395604395606,,0.45329670329670335,0.12362637362637363,0.004120879120879121,0.989010989010989,1.2362637362637363,4.697802197802198,14.835164835164836,40.54945054945055,-0.4557907351699044,-0.8425355487639358,-0.5015527084453237,-0.9372915699326385,-0.47834214264650804,-0.9497019617645182,,-0.8879284814676921,-1.0629405888645809,-1.0339622716864723,0.28091163715380846,0.6865060813802684,2.0719531911872315,-0.9663760412471585,-0.401020318218454,,,-0.3320743284926153
Burgui,Alavés,La Liga,"MF,FW",23.0,1034.0,1.0,0.0,0.7,1.6,0.7,,,35.0,,75.0,17.0,2.1,75.4,5.0,7.0,1.0,331.0,459.0,0.08704061895551257,0.0,0.0609284332688588,0.13926499032882014,0.0609284332688588,3.0464216634429397,,6.528046421663443,1.4796905222437136,0.1827852998065764,0.4352030947775629,0.6092843326885881,0.08704061895551257,28.81044487427466,39.951644100580275,-0.16925015750101288,-0.8425355487639358,-0.42211163661560136,0.7080608808478889,-0.3887264208992689,1.1953320509494005,,1.086530055443539,1.093832083704266,1.493351185094994,-0.7103220875131232,-0.34346571183125874,-1.0396626260333848,0.16531379836958726,-0.43208559079996484,,,-0.15131580646990112
Rubén Duarte,Alavés,La Liga,DF,21.0,2138.0,0.0,2.0,0.8,1.6,0.8,,,23.0,,48.0,19.0,1.9,70.2,40.0,44.0,94.0,446.0,1254.0,0.0,0.08419083255378859,0.03367633302151544,0.06735266604303088,0.03367633302151544,0.9681945743685688,,2.020579981290926,0.7998129092609916,0.07998129092609915,1.6838166510757717,1.852198316183349,3.956969130028064,18.774555659494855,52.78765201122545,-0.7134280893521948,0.04384096072907472,-0.6107296856854589,-0.22431835593803487,-0.6015022837197308,-0.37413097525149275,,-0.3785188775398598,0.01251048260775926,0.03912793204016324,1.5245103859247306,1.6983339662571202,1.5719950276201018,-0.6473721602732149,0.23494315296180263,,,-0.7387810030437195
Rodrigo Ely,Alavés,La Liga,DF,23.0,2691.0,1.0,0.0,1.2,0.4,1.2,,,6.0,,7.0,2.0,0.1,71.0,18.0,50.0,183.0,596.0,1388.0,0.033444816053511704,0.0,0.04013377926421404,0.013377926421404682,0.04013377926421404,0.20066889632107024,,0.23411371237458192,0.06688963210702341,0.0033444816053511705,0.6020066889632107,1.6722408026755853,6.120401337792642,19.933110367892976,46.42140468227425,-0.5043311062477274,-0.8425355487639358,-0.5660362161467202,-0.9241278396940145,-0.5510845660599373,-0.9537611704732488,,-0.9591689024949923,-1.1531783949184502,-1.044944871810631,-0.4117684741137793,1.4027083654278523,3.0320076008246857,-0.5535547492113175,-0.0958816632791828,,,-0.6484017420323632
Manu García,Alavés,La Liga,MF,31.0,2439.0,3.0,0.0,3.3,1.2,1.8,,,15.0,,48.0,16.0,1.5,72.6,65.0,35.0,67.0,735.0,1319.0,0.11070110701107011,0.0,0.12177121771217711,0.04428044280442804,0.06642066420664207,0.5535055350553506,,1.7712177121771218,0.5904059040590406,0.055350553505535055,2.3985239852398523,1.2915129151291513,2.4723247232472323,27.12177121771218,48.67158671586716,-0.021324791032241407,-0.8425355487639358,-0.0010047421921045524,-0.5234612651377311,-0.3458448020152348,-0.6873013299227642,,-0.4595683830934288,-0.3205440463572248,-0.30928835529076903,2.8037301664062846,0.7772667913892303,0.570068786132922,0.02856842981796411,0.021050026507173438,,,-0.4676432200096506
Ibai Gómez,Alavés,La Liga,"MF,FW",27.0,2319.0,7.0,6.0,4.7,5.7,3.9,,,22.0,,117.0,37.0,4.3,66.0,15.0,15.0,20.0,715.0,1246.0,0.2716688227684347,0.2328589909443726,0.18240620957309184,0.22121604139715395,0.15135834411384216,0.853816300129366,,4.540750323415265,1.4359637774902974,0.16688227684346701,0.5821474773609314,0.5821474773609314,0.7761966364812418,27.7490297542044,48.35705045278137,0.985045334856022,1.6090465693422173,0.4186639720123109,1.7705972292105958,0.3173219984952874,-0.46050867351306657,,0.44060488511216644,1.0242862231778895,1.2683935590387363,-0.44731350785282337,-0.38804484056271515,-0.5745792058661215,0.0793625541986253,0.004705012551577772,,,-1.2132721233533421
John Guidetti,Alavés,La Liga,FW,25.0,1222.0,3.0,3.0,2.7,1.7,2.7,,,12.0,,77.0,13.0,2.0,65.8,7.0,2.0,7.0,256.0,460.0,0.220949263502455,0.220949263502455,0.19885433715220951,0.12520458265139117,0.19885433715220951,0.88379705400982,,5.671031096563011,0.9574468085106382,0.14729950900163666,0.5155482815057283,0.14729950900163666,0.5155482815057283,18.854337152209492,33.878887070376436,0.6679466607315747,1.483658776885888,0.5325052432048947,0.5257606658377229,0.6881558354300549,-0.4378674111792381,,0.807976814016623,0.263221694550614,0.9913837744507341,-0.5665161585459001,-1.1023922963029105,-0.7504801997052372,-0.6409116167676865,-0.7476590557919873,,,-1.2358669386061816
Munir El Haddadi,Alavés,La Liga,FW,21.0,2444.0,10.0,6.0,9.1,3.9,9.1,,,48.0,,173.0,39.0,3.3,65.3,20.0,9.0,5.0,681.0,990.0,0.36824877250409166,0.220949263502455,0.33510638297872336,0.14361702127659573,0.33510638297872336,1.76759410801964,,6.370703764320785,1.4361702127659572,0.12152209492635023,0.7364975450081833,0.3314238952536825,0.18412438625204583,25.07774140752864,36.45662847790508,1.588863160787421,1.483658776885888,1.475536966716889,0.7644871378748443,1.7519691323379056,0.22957013990738828,,1.0353894212753163,1.024614551274795,0.6267470704921677,-0.1710498538860361,-0.7999215561149333,-0.9741447325684138,-0.13695295949122635,-0.6137056004205114,,,-1.2923539767382795
Víctor Laguardia,Alavés,La Liga,DF,27.0,1530.0,2.0,0.0,0.5,0.2,0.5,,,6.0,,0.0,3.0,0.2,67.1,15.0,29.0,109.0,319.0,753.0,0.11764705882352941,0.0,0.029411764705882353,0.011764705882352943,0.029411764705882353,0.3529411764705882,,0.0,0.1764705882352941,0.011764705882352943,0.8823529411764706,1.7058823529411764,6.411764705882352,18.764705882352942,44.29411764705882,0.022101298274108602,-0.8425355487639358,-0.6402457431092624,-0.9450440505091567,-0.6347986973788611,-0.8387661755247346,,-1.0352622132380485,-0.9788937109288347,-0.9258358402378543,0.09000960213125964,1.4579730960647552,3.228636910148763,-0.6481697752535801,-0.20642706092915378,,,-1.0890006394627274
