player,team,league,position,age,minutes,goals,assists,xg,xag,npxg,shots_p90,shots_on_target_p90,prog_carries,prog_passes,prog_receptions,key_passes,xa,pass_completion_pct,tackles_won,interceptions,clearances,carries,touches
Tyler Adams,Bournemouth,Premier League,MF,25.0,1965,0,3,1.6,1.0,1.6,0.41,0.09,14,76,10,18,0.8,84.4,50,32,42,663,1337
Junior Adamu,Freiburg,Bundesliga,FW,23.0,1545,2,2,5.5,2.4,5.5,2.1,0.64,8,14,84,17,1.9,63.5,3,12,20,275,534
Tosin Adarabioyo,Chelsea,Premier League,DF,26.0,1409,1,1,0.9,0.2,0.9,0.83,0.13,5,42,1,1,0.2,91.1,13,11,80,777,1330
Karim Adeyemi,Dortmund,Bundesliga,"FW,MF",22.0,1433,7,6,5.5,6.0,5.5,2.89,1.13,68,28,153,28,4.1,74.3,14,7,5,417,636
Simon Adingra,Brighton,Premier League,"FW,MF",22.0,1097,2,2,2.5,2.5,2.5,2.71,0.66,50,18,136,16,2.8,75.9,14,8,6,366,548
Amine Adli,Leverkusen,Bundesliga,"MF,FW",24.0,766,2,0,2.7,0.7,2.7,2.35,0.82,37,24,100,11,1.9,74.2,9,0,4,248,468
Oladapo Afolayan,St. Pauli,Bundesliga,"FW,MF",26.0,1639,3,1,3.1,3.8,3.1,2.09,0.71,53,32,108,21,3.6,69.4,8,8,20,495,741
Emmanuel Agbadou,Wolves,Premier League,DF,27.0,1410,1,0,0.8,0.2,0.8,0.45,0.13,6,31,2,4,0.3,85.4,19,12,90,758,1172
Felix Agu,Werder Bremen,Bundesliga,DF,24.0,1751,3,0,1.4,1.8,1.4,0.46,0.21,33,43,105,20,2.5,79.7,14,21,48,545,1045
Ola Aina,Nott'ham Forest,Premier League,DF,27.0,2995,2,1,0.6,1.4,0.6,0.33,0.06,67,107,67,16,2.2,73.5,42,33,115,749,1708
Rayan Aït-Nouri,Wolves,Premier League,DF,23.0,3109,4,7,2.7,5.5,2.7,1.04,0.29,89,108,176,46,4.0,84.2,57,26,75,1129,2148
Kristoffer Ajer,Brentford,Premier League,DF,26.0,1438,0,0,1.0,1.2,1.0,0.56,0.19,27,56,44,8,0.5,78.3,18,12,50,387,795
Manuel Akanji,Manchester City,Premier League,DF,29.0,2014,0,0,1.6,0.4,1.6,0.67,0.09,46,158,7,9,1.3,93.6,12,9,64,1254,1881
Nathan Aké,Manchester City,Premier League,DF,29.0,678,0,0,0.2,0.0,0.2,0.4,0.0,12,50,2,1,0.2,93.9,7,3,22,403,596
Kevin Akpoguma,Hoffenheim,Bundesliga,DF,29.0,2220,0,0,0.1,0.3,0.1,0.2,0.04,14,98,16,7,0.6,87.1,27,29,115,892,1692
Carlos Alcaraz,Everton,Premier League,"FW,MF",21.0,764,2,3,1.7,1.6,1.7,3.06,1.3,19,42,21,13,0.7,80.6,5,5,10,211,378
Trent Alexander-Arnold,Liverpool,Premier League,DF,25.0,2365,3,6,1.9,7.3,1.9,1.71,0.3,51,232,94,52,7.4,73.5,50,31,55,1183,2252
Alisson,Liverpool,Premier League,GK,31.0,2508,0,0,0.0,0.6,0.0,0.0,0.0,0,1,0,1,0.2,82.8,0,0,13,658,1011
Edson Álvarez,West Ham,Premier League,MF,26.0,1772,0,1,0.4,0.8,0.4,0.61,0.05,24,85,18,12,0.9,85.8,27,18,46,687,1239
Nadiem Amiri,Mainz 05,Bundesliga,MF,27.0,2473,7,5,5.5,6.6,3.9,2.18,0.87,50,204,64,63,9.2,77.0,23,16,30,1134,2093
