Player,Squad,Comp,Pos,Min,Gls,xG,npxG,Ast,xAG,Sh/90,SoT/90,PrgC,PrgP,PrgR,Cmp%,KP,xA,TklW,Int,Tkl+Int,Clr,Succ%,Carries,Touches
Tyler Adams,Bournemouth,eng Premier League,MF,1965,0,1.6,1.6,3,1.0,0.41,0.09,14,76,10,84.4,18,0.8,50,32,115,42,22.2,663,1337
Junior Adamu,Freiburg,de Bundesliga,FW,1545,2,5.5,5.5,2,2.4,2.1,0.64,8,14,84,63.5,17,1.9,3,12,21,20,34.5,275,534
Tosin Adarabioyo,Chelsea,eng Premier League,DF,1409,1,0.9,0.9,1,0.2,0.83,0.13,5,42,1,91.1,1,0.2,13,11,28,80,66.7,777,1330
Karim Adeyemi,Dortmund,de Bundesliga,"FW,MF",1433,7,5.5,5.5,6,6.0,2.89,1.13,68,28,153,74.3,28,4.1,14,7,27,5,42.6,417,636
Simon Adingra,Brighton,eng Premier League,"FW,MF",1097,2,2.5,2.5,2,2.5,2.71,0.66,50,18,136,75.9,16,2.8,14,8,31,6,42.0,366,548
Amine Adli,Leverkusen,de Bundesliga,"MF,FW",766,2,2.7,2.7,0,0.7,2.35,0.82,37,24,100,74.2,11,1.9,9,0,15,4,46.9,248,468
Oladapo Afolayan,St. Pauli,de Bundesliga,"FW,MF",1639,3,3.1,3.1,1,3.8,2.09,0.71,53,32,108,69.4,21,3.6,8,8,25,20,49.0,495,741
Emmanuel Agbadou,Wolves,eng Premier League,DF,1410,1,0.8,0.8,0,0.2,0.45,0.13,6,31,2,85.4,4,0.3,19,12,42,90,76.9,758,1172
Felix Agu,Werder Bremen,de Bundesliga,DF,1751,3,1.4,1.4,0,1.8,0.46,0.21,33,43,105,79.7,20,2.5,14,21,51,48,25.7,545,1045
Ola Aina,Nott'ham Forest,eng Premier League,DF,2995,2,0.6,0.6,1,1.4,0.33,0.06,67,107,67,73.5,16,2.2,42,33,88,115,45.8,749,1708
Rayan Aït-Nouri,Wolves,eng Premier League,DF,3109,4,2.7,2.7,7,5.5,1.04,0.29,89,108,176,84.2,46,4.0,57,26,115,75,46.0,1129,2148
Kristoffer Ajer,Brentford,eng Premier League,DF,1438,0,1.0,1.0,0,1.2,0.56,0.19,27,56,44,78.3,8,0.5,18,12,38,50,43.8,387,795
Manuel Akanji,Manchester City,eng Premier League,DF,2014,0,1.6,1.6,0,0.4,0.67,0.09,46,158,7,93.6,9,1.3,12,9,28,64,100.0,1254,1881
Nathan Aké,Manchester City,eng Premier League,DF,678,0,0.2,0.2,0,0.0,0.4,0.0,12,50,2,93.9,1,0.2,7,3,12,22,100.0,403,596
Kevin Akpoguma,Hoffenheim,de Bundesliga,DF,2220,0,0.1,0.1,0,0.3,0.2,0.04,14,98,16,87.1,7,0.6,27,29,83,115,53.3,892,1692
Carlos Alcaraz,Everton,eng Premier League,"FW,MF",764,2,1.7,1.7,3,1.6,3.06,1.3,19,42,21,80.6,13,0.7,5,5,16,10,50.0,211,378
Trent Alexander-Arnold,Liverpool,eng Premier League,DF,2365,3,1.9,1.9,6,7.3,1.71,0.3,51,232,94,73.5,52,7.4,50,31,103,55,45.9,1183,2252
Alisson,Liverpool,eng Premier League,GK,2508,0,0.0,0.0,0,0.6,0.0,0.0,0,1,0,82.8,1,0.2,0,0,1,13,100.0,658,1011
Edson Álvarez,West Ham,eng Premier League,MF,1772,0,0.4,0.4,1,0.8,0.61,0.05,24,85,18,85.8,12,0.9,27,18,68,46,42.4,687,1239
Nadiem Amiri,Mainz 05,de Bundesliga,MF,2473,7,5.5,3.9,5,6.6,2.18,0.87,50,204,64,77.0,63,9.2,23,16,66,30,47.8,1134,2093
Mohamed Amoura,Wolfsburg,de Bundesliga,FW,2467,10,8.7,7.2,9,4.0,2.66,0.91,81,61,244,70.3,35,3.7,22,9,38,24,40.7,628,1106
Joachim Andersen,Fulham,eng Premier League,DF,2583,0,1.0,1.0,0,0.5,0.66,0.14,16,112,2,82.7,4,0.5,18,34,61,188,66.7,1350,2336
Elliot Anderson,Nott'ham Forest,eng Premier League,MF,2728,2,2.1,2.1,6,3.3,1.32,0.23,52,143,94,78.3,37,3.6,56,31,123,76,48.0,932,1831
André,Wolves,eng Premier League,MF,2472,0,0.4,0.4,0,0.8,0.36,0.04,10,109,11,92.9,18,0.7,55,37,128,30,50.0,912,1623
Robert Andrich,Leverkusen,de Bundesliga,"MF,DF",1598,2,1.3,1.3,2,0.3,1.18,0.28,8,65,17,88.4,9,1.0,12,29,53,23,40.0,526,1114
Waldemar Anton,Dortmund,de Bundesliga,DF,1949,2,1.7,1.7,2,0.8,0.88,0.14,32,117,28,90.4,6,1.8,21,30,64,112,83.3,1386,2126
Michail Antonio,West Ham,eng Premier League,FW,836,1,2.2,2.2,1,1.6,2.05,0.43,29,18,59,60.6,9,0.9,2,0,2,2,33.3,173,296
Cameron Archer,Southampton,eng Premier League,FW,1441,2,5.7,4.9,0,0.5,1.75,0.62,22,14,66,81.7,5,0.7,8,2,15,11,40.5,226,398
Alphonse Areola,West Ham,eng Premier League,GK,2260,0,0.0,0.0,0,0.0,0.0,0.0,0,1,0,69.6,0,0.0,2,0,2,15,,601,1049
Joe Aribo,Southampton,eng Premier League,"MF,DF",2013,3,2.7,2.7,0,1.6,0.76,0.31,36,75,65,88.8,16,1.3,33,20,67,32,42.9,745,1271
Adam Armstrong,Southampton,eng Premier League,"FW,MF",1248,2,3.3,2.3,2,1.2,1.8,0.5,25,21,79,80.2,9,0.6,3,3,15,8,42.9,235,377
Maximilian Arnold,Wolfsburg,de Bundesliga,MF,2356,3,0.9,0.9,5,3.5,1.03,0.46,9,128,16,77.2,45,4.4,20,24,58,70,16.7,787,1576
Jann-Fiete Arp,Holstein Kiel,de Bundesliga,"FW,MF",713,2,3.8,2.2,0,1.0,2.52,1.14,14,21,66,58.6,11,1.7,10,3,16,8,43.8,158,303
Kepa Arrizabalaga,Bournemouth,eng Premier League,GK,2790,0,0.1,0.1,0,0.0,0.03,0.0,0,2,0,73.2,1,0.0,0,0,1,15,100.0,621,1087
Arthur,Leverkusen,de Bundesliga,DF,752,0,0.1,0.1,1,0.4,0.12,0.0,15,25,53,78.9,2,1.0,11,9,23,29,20.8,242,508
Marco Asensio,Aston Villa,eng Premier League,MF,743,3,4.4,2.9,1,1.0,2.66,1.09,22,45,38,77.3,16,1.2,5,2,9,3,63.2,242,386
Noah Atubolu,Freiburg,de Bundesliga,GK,2307,0,0.0,0.0,0,0.0,0.0,0.0,0,2,0,74.5,0,0.1,0,0,0,13,,680,1198
Yasin Ayari,Brighton,eng Premier League,MF,1965,2,2.4,2.4,1,2.3,1.28,0.37,30,75,61,81.5,30,2.6,32,20,79,26,40.0,655,1233
Jordan Ayew,Leicester City,eng Premier League,"FW,MF",1638,5,3.2,2.4,0,1.1,1.7,0.44,49,46,86,74.3,16,1.5,15,12,39,19,40.6,479,798
Leon Bailey,Aston Villa,eng Premier League,"FW,MF",1139,1,1.7,1.7,2,1.5,2.21,0.47,58,35,121,71.0,16,3.0,5,3,10,12,38.6,348,545
Ridle Baku,Wolfsburg,de Bundesliga,"FW,MF",1170,2,1.5,1.5,1,1.3,1.38,0.46,16,44,78,74.1,13,1.6,15,15,38,15,45.0,352,646
Ridle Baku,RB Leipzig,de Bundesliga,"DF,MF",1275,2,1.4,1.4,3,1.5,1.2,0.35,21,41,97,75.2,14,1.7,19,9,33,45,66.7,383,796
Carlos Baleba,Brighton,eng Premier League,MF,2661,3,3.1,3.1,1,1.3,1.49,0.37,43,118,29,87.4,21,1.2,46,46,125,44,57.9,971,1697
Harvey Barnes,Newcastle Utd,eng Premier League,FW,1755,9,7.2,7.2,4,4.0,3.23,1.03,93,83,192,78.1,26,4.6,9,6,22,15,37.5,561,810
Calvin Bassey,Fulham,eng Premier League,DF,3074,1,1.0,1.0,0,0.1,0.41,0.12,39,116,15,89.7,3,0.4,34,20,74,118,45.5,1571,2463
Maximilian Bauer,Augsburg,de Bundesliga,DF,658,0,0.2,0.2,0,0.1,0.14,0.14,4,30,7,80.9,2,0.1,8,6,20,35,,216,422
Oliver Baumann,Hoffenheim,de Bundesliga,GK,2520,0,0.0,0.0,0,1.0,0.0,0.0,0,1,0,69.1,3,0.7,2,0,2,15,100.0,678,1147
Christoph Baumgartner,RB Leipzig,de Bundesliga,MF,1610,2,4.5,4.5,1,1.3,2.18,0.84,37,53,95,68.2,20,1.7,28,12,56,24,40.5,438,910
Adrian Beck,Heidenheim,de Bundesliga,"MF,FW",1598,4,3.3,3.3,1,1.2,2.2,0.73,37,69,83,80.1,21,1.9,17,9,45,17,53.3,553,962
Timo Becker,Holstein Kiel,de Bundesliga,DF,2445,0,1.4,1.4,2,0.8,0.63,0.15,28,57,38,77.4,6,1.0,33,17,70,110,46.2,588,1325
Jan Bednarek,Southampton,eng Premier League,DF,2531,2,0.7,0.7,0,0.5,0.18,0.07,5,60,2,92.7,5,0.9,19,56,92,190,100.0,1046,2049
Maximilian Beier,Dortmund,de Bundesliga,"FW,MF",1591,8,7.7,7.7,5,3.3,2.38,0.74,24,33,124,70.5,24,2.5,16,7,32,14,43.1,338,618
Stefan Bell,Mainz 05,de Bundesliga,DF,1436,0,0.8,0.8,1,1.0,0.75,0.19,8,38,5,78.6,5,0.7,12,28,50,107,33.3,415,952
Jean-Ricner Bellegarde,Wolves,eng Premier League,"MF,FW",1677,2,1.5,1.5,7,3.8,1.18,0.27,52,43,89,79.3,27,2.8,24,10,49,18,23.0,528,843
Ramy Bensebaini,Dortmund,de Bundesliga,DF,2022,1,1.3,1.3,6,3.2,0.89,0.09,26,128,58,86.1,15,2.3,25,33,84,86,27.8,941,1766
Rodrigo Bentancur,Tottenham,eng Premier League,MF,1645,2,1.3,1.3,0,0.4,1.2,0.27,28,100,34,87.9,10,1.0,22,40,80,38,47.4,764,1302
Sander Berge,Fulham,eng Premier League,MF,2224,0,0.4,0.4,0,0.6,0.12,0.04,29,124,9,91.5,18,0.6,30,21,71,38,55.0,804,1384
Lucas Bergvall,Tottenham,eng Premier League,MF,1212,0,0.7,0.7,1,0.6,0.89,0.15,33,49,31,87.4,11,0.8,19,24,63,22,46.7,531,885
Bernardo,Bochum,de Bundesliga,DF,1782,0,0.7,0.7,0,0.7,0.4,0.1,14,100,14,73.7,4,1.7,28,26,72,103,60.0,630,1249
Alexander Bernhardsson,Holstein Kiel,de Bundesliga,"FW,MF",1263,7,4.1,4.1,2,1.3,1.92,1.0,25,33,72,60.5,17,1.2,15,5,34,25,41.5,264,520
