Player,Squad,Comp,Pos,Min,Gls,xG,npxG,Ast,xAG,Sh/90,SoT/90,PrgC,PrgP,PrgR,Cmp%,KP,xA,TklW,Int,Tkl+Int,Clr,Succ%,Carries,Touches,Gls_pct,xG_pct,npxG_pct,Ast_pct,xAG_pct,Sh/90_pct,SoT/90_pct,PrgC_pct,PrgP_pct,PrgR_pct,Cmp%_pct,KP_pct,xA_pct,TklW_pct,Int_pct,Tkl+Int_pct,Clr_pct,Succ%_pct,Carries_pct,Touches_pct
Tyler Adams,Bournemouth,eng Premier League,MF,1965,0,1.6,1.6,3,1.0,0.41,0.09,14,76,10,84.4,18,0.8,50,32,115,42,22.2,663,1337,0.17615176151761516,0.540650406504065,0.540650406504065,0.7439024390243902,0.3875338753387534,0.22086720867208673,0.23577235772357724,0.3048780487804878,0.6327913279132791,0.26558265582655827,0.6869918699186992,0.6070460704607046,0.35365853658536583,0.9525745257452575,0.8875338753387534,0.943089430894309,0.6260162601626016,0.05730659025787966,0.5799457994579946,0.6639566395663956
Junior Adamu,Freiburg,de Bundesliga,FW,1545,2,5.5,5.5,2,2.4,2.1,0.64,8,14,84,63.5,17,1.9,3,12,21,20,34.5,275,534,0.6060606060606061,0.8803030303030303,0.8909090909090909,0.656060606060606,0.7257575757575757,0.7893939393939394,0.7484848484848485,0.21666666666666667,0.1,0.6878787878787879,0.05909090909090909,0.6181818181818182,0.603030303030303,0.11666666666666667,0.509090909090909,0.27424242424242423,0.3575757575757576,0.21129032258064517,0.17575757575757575,0.1696969696969697
Tosin Adarabioyo,Chelsea,eng Premier League,DF,1409,1,0.9,0.9,1,0.2,0.83,0.13,5,42,1,91.1,1,0.2,13,11,28,80,66.7,777,1330,0.44579945799457993,0.3699186991869919,0.37262872628726285,0.44986449864498645,0.14363143631436315,0.47560975609756095,0.31842818428184283,0.13685636856368563,0.33604336043360433,0.10298102981029811,0.9417344173441734,0.06504065040650407,0.12737127371273713,0.38482384823848237,0.470189701897019,0.3346883468834688,0.8428184281842819,0.8825214899713467,0.6666666666666666,0.6612466124661247
Karim Adeyemi,Dortmund,de Bundesliga,"FW,MF",1433,7,5.5,5.5,6,6.0,2.89,1.13,68,28,153,74.3,28,4.1,14,7,27,5,42.6,417,636,0.8803030303030303,0.8803030303030303,0.8909090909090909,0.9227272727272727,0.9515151515151515,0.9363636363636364,0.9181818181818182,0.9424242424242424,0.22424242424242424,0.9151515151515152,0.3787878787878788,0.8409090909090909,0.8636363636363636,0.4893939393939394,0.3242424242424242,0.36363636363636365,0.048484848484848485,0.40161290322580645,0.3484848484848485,0.2636363636363636
Simon Adingra,Brighton,eng Premier League,"FW,MF",1097,2,2.5,2.5,2,2.5,2.71,0.66,50,18,136,75.9,16,2.8,14,8,31,6,42.0,366,548,0.6029810298102981,0.6626016260162602,0.6747967479674797,0.6273712737127372,0.6991869918699187,0.9051490514905149,0.7615176151761518,0.7398373983739838,0.13279132791327913,0.8401084010840109,0.31978319783197834,0.551490514905149,0.7831978319783198,0.4146341463414634,0.3617886178861789,0.3902439024390244,0.06504065040650407,0.42263610315186245,0.24254742547425473,0.17615176151761516
Amine Adli,Leverkusen,de Bundesliga,"MF,FW",766,2,2.7,2.7,0,0.7,2.35,0.82,37,24,100,74.2,11,1.9,9,0,15,4,46.9,248,468,0.6060606060606061,0.6984848484848485,0.706060606060606,0.1712121212121212,0.31212121212121213,0.8484848484848485,0.8257575757575758,0.7606060606060606,0.19393939393939394,0.7545454545454545,0.3712121212121212,0.43787878787878787,0.603030303030303,0.27424242424242423,0.04242424242424243,0.18787878787878787,0.03636363636363636,0.5548387096774193,0.13636363636363635,0.11515151515151516
Oladapo Afolayan,St. Pauli,de Bundesliga,"FW,MF",1639,3,3.1,3.1,1,3.8,2.09,0.71,53,32,108,69.4,21,3.6,8,8,25,20,49.0,495,741,0.7318181818181818,0.740909090909091,0.7606060606060606,0.4575757575757576,0.8651515151515151,0.7833333333333333,0.7712121212121212,0.8787878787878788,0.2681818181818182,0.7772727272727272,0.1803030303030303,0.706060606060606,0.8257575757575758,0.24696969696969698,0.36363636363636365,0.3378787878787879,0.3575757575757576,0.6096774193548387,0.4621212121212121,0.3151515151515151
Emmanuel Agbadou,Wolves,eng Premier League,DF,1410,1,0.8,0.8,0,0.2,0.45,0.13,6,31,2,85.4,4,0.3,19,12,42,90,76.9,758,1172,0.44579945799457993,0.34146341463414637,0.34417344173441733,0.17344173441734417,0.14363143631436315,0.2588075880758808,0.31842818428184283,0.15582655826558264,0.22764227642276422,0.13279132791327913,0.7195121951219512,0.18834688346883469,0.17344173441734417,0.5365853658536586,0.502710027100271,0.5094850948509485,0.8658536585365854,0.9197707736389685,0.6517615176151762,0.5609756097560976
Felix Agu,Werder Bremen,de Bundesliga,DF,1751,3,1.4,1.4,0,1.8,0.46,0.21,33,43,105,79.7,20,2.5,14,21,51,48,25.7,545,1045,0.7318181818181818,0.4909090909090909,0.5,0.1712121212121212,0.6439393939393939,0.23030303030303031,0.4318181818181818,0.7181818181818181,0.38484848484848483,0.7696969696969697,0.5909090909090909,0.6757575757575758,0.7136363636363636,0.4893939393939394,0.7393939393939394,0.6606060606060606,0.6454545454545455,0.08064516129032258,0.5590909090909091,0.5515151515151515
Ola Aina,Nott'ham Forest,eng Premier League,DF,2995,2,0.6,0.6,1,1.4,0.33,0.06,67,107,67,73.5,16,2.2,42,33,88,115,45.8,749,1708,0.6029810298102981,0.26558265582655827,0.2682926829268293,0.44986449864498645,0.5067750677506775,0.16666666666666666,0.17750677506775067,0.8360433604336044,0.7669376693766937,0.5813008130081301,0.21680216802168023,0.551490514905149,0.7046070460704607,0.9092140921409214,0.8983739837398373,0.8617886178861789,0.9024390243902439,0.5501432664756447,0.6449864498644986,0.8089430894308943
