Player,Team,Minutes,goals_per_90,player_expected_goals_per_90,player_expected_assists_per_90,player_accurate_passes,player_accurate_long_balls,player_tackles_won,player_interceptions,player_effective_clearances,player_contests_won,player_big_chances_created,league,goals_per_90_percentile,player_expected_goals_per_90_percentile,player_expected_assists_per_90_percentile,player_accurate_passes_percentile,player_accurate_long_balls_percentile,player_tackles_won_percentile,player_interceptions_percentile,player_effective_clearances_percentile,player_contests_won_percentile,player_big_chances_created_percentile
Harry Kane,Bayern München,2843,1.14,0.97,0.19,14.5,1.6,0.3,0.2,0.4,0.8,13.0,Bundesliga,0.997737556561086,1.0,0.755656108597285,0.07239819004524888,0.5950226244343891,0.09728506787330317,0.11990950226244344,0.11990950226244344,0.5656108597285068,0.9411764705882353
Serhou Guirassy,VfB Stuttgart,2212,1.14,0.85,0.22,25.5,0.5,0.1,0.2,1.2,0.7,12.0,Bundesliga,0.997737556561086,0.9909502262443439,0.8257918552036199,0.3936651583710407,0.1515837104072398,0.02262443438914027,0.11990950226244344,0.497737556561086,0.5,0.9276018099547512
Benjamin Sesko,RB Leipzig,1528,0.82,0.45,0.07,12.7,0.2,0.3,0.2,1.6,1.0,1.0,Bundesliga,0.9909502262443439,0.9276018099547512,0.2828054298642534,0.04524886877828054,0.033936651583710405,0.09728506787330317,0.11990950226244344,0.6470588235294118,0.669683257918552,0.2149321266968326
Victor Okoh Boniface,Bayer 04 Leverkusen,1553,0.81,0.9,0.19,15.8,0.6,0.2,0.0,0.8,2.7,8.0,Bundesliga,0.9864253393665159,0.995475113122172,0.755656108597285,0.13574660633484162,0.19230769230769232,0.05203619909502263,0.013574660633484163,0.32805429864253394,0.9502262443438914,0.8371040723981901
Ikoma Lois Openda,RB Leipzig,2716,0.8,0.74,0.15,11.0,0.2,0.1,0.2,0.5,0.7,11.0,Bundesliga,0.9819004524886877,0.9864253393665159,0.6176470588235294,0.01809954751131222,0.033936651583710405,0.02262443438914027,0.11990950226244344,0.17194570135746606,0.5,0.9095022624434389
Deniz Undav,VfB Stuttgart,2096,0.77,0.65,0.26,24.9,0.7,0.6,0.3,0.2,1.2,15.0,Bundesliga,0.9773755656108597,0.9819004524886877,0.8800904977375565,0.37104072398190047,0.24660633484162897,0.26018099547511314,0.22171945701357465,0.042986425339366516,0.7601809954751131,0.9592760180995475
Youssoufa Moukoko,Borussia Dortmund,614,0.73,0.58,0.1,15.0,0.4,0.1,0.3,0.6,1.6,0.0,Bundesliga,0.9728506787330317,0.9705882352941176,0.416289592760181,0.09954751131221719,0.11538461538461539,0.02262443438914027,0.22171945701357465,0.2081447963800905,0.8393665158371041,0.07692307692307693
Robin Hack,Borussia Mönchengladbach,1345,0.67,0.26,0.14,24.8,0.9,0.5,0.9,0.9,1.7,3.0,Bundesliga,0.9683257918552036,0.7352941176470589,0.5882352941176471,0.36199095022624433,0.33031674208144796,0.19004524886877827,0.6199095022624435,0.37104072398190047,0.8552036199095022,0.48868778280542985
Donyell Malen,Borussia Dortmund,1783,0.66,0.48,0.17,19.9,0.5,0.4,0.1,0.4,2.1,9.0,Bundesliga,0.9638009049773756,0.9479638009049773,0.6945701357466063,0.23755656108597284,0.1515837104072398,0.14705882352941177,0.05203619909502263,0.11990950226244344,0.916289592760181,0.8642533936651584
Andrej Kramaric,TSG Hoffenheim,2206,0.61,0.45,0.29,34.4,1.1,0.1,0.4,0.4,1.0,14.0,Bundesliga,0.9570135746606335,0.9276018099547512,0.916289592760181,0.6244343891402715,0.40497737556561086,0.02262443438914027,0.31447963800904977,0.11990950226244344,0.669683257918552,0.9479638009049773
Mathys Tel,Bayern München,1031,0.61,0.32,0.26,28.2,0.6,0.2,0.5,0.5,3.2,6.0,Bundesliga,0.9570135746606335,0.7850678733031674,0.8800904977375565,0.45701357466063347,0.19230769230769232,0.05203619909502263,0.3755656108597285,0.17194570135746606,0.9751131221719457,0.7669683257918553
Maximilian Beier,TSG Hoffenheim,2431,0.59,0.42,0.11,13.7,0.1,0.4,0.3,0.4,1.2,4.0,Bundesliga,0.9479638009049773,0.8959276018099548,0.4502262443438914,0.058823529411764705,0.01809954751131222,0.14705882352941177,0.22171945701357465,0.11990950226244344,0.7601809954751131,0.6040723981900452
Patrik Schick,Bayer 04 Leverkusen,1064,0.59,0.51,0.14,15.4,0.2,0.3,0.1,0.6,0.7,2.0,Bundesliga,0.9479638009049773,0.9592760180995475,0.5882352941176471,0.11990950226244344,0.033936651583710405,0.09728506787330317,0.05203619909502263,0.2081447963800905,0.5,0.3506787330316742
Nathan Tella,Bayer 04 Leverkusen,812,0.55,0.39,0.32,27.4,1.0,0.9,0.3,0.7,0.8,5.0,Bundesliga,0.9411764705882353,0.8755656108597285,0.9524886877828054,0.4457013574660634,0.36425339366515835,0.5135746606334841,0.22171945701357465,0.26018099547511314,0.5656108597285068,0.6968325791855203
Justin Njinmah,SV Werder Bremen,1012,0.53,0.44,0.2,12.5,0.4,0.1,0.2,0.4,2.3,4.0,Bundesliga,0.9366515837104072,0.916289592760181,0.7850678733031674,0.04072398190045249,0.11538461538461539,0.02262443438914027,0.11990950226244344,0.11990950226244344,0.9343891402714932,0.6040723981900452
Jamal Musiala,Bayern München,1766,0.51,0.4,0.3,31.1,0.3,1.3,0.8,0.2,4.4,12.0,Bundesliga,0.9298642533936652,0.8823529411764706,0.9389140271493213,0.5429864253393665,0.06787330316742081,0.8076923076923077,0.5475113122171946,0.042986425339366516,1.0,0.9276018099547512
Silas Katompa Mvumpa,VfB Stuttgart,890,0.51,0.57,0.17,20.8,0.4,0.3,0.0,0.3,3.8,6.0,Bundesliga,0.9298642533936652,0.9638009049773756,0.6945701357466063,0.27149321266968324,0.11538461538461539,0.09728506787330317,0.013574660633484163,0.0746606334841629,0.9886877828054299,0.7669683257918553
