player,player_url,season_src,season_tgt,league_src,league_tgt,team_src,team_tgt,age_src,age_tgt,position,minutes_src,minutes_tgt,goals_p90_src,goals_p90_tgt,goals_p90_delta,assists_p90_src,assists_p90_tgt,assists_p90_delta,xg_p90_src,xg_p90_tgt,xg_p90_delta,xag_p90_src,xag_p90_tgt,xag_p90_delta,prog_passes_p90_src,prog_passes_p90_tgt,prog_passes_p90_delta,prog_carries_p90_src,prog_carries_p90_tgt,prog_carries_p90_delta,touches_p90_src,touches_p90_tgt,touches_p90_delta
Moussa Niakhate,https://fbref.com/en/players/00242715/Moussa-Niakhate,2017-2018,2018-2019,Ligue 1,Bundesliga,Metz,Mainz 05,21,22,DF,3105.0,2789.0,0.0,0.0322696306920043,0.0322696306920043,0.028985507246376812,0.0322696306920043,0.0032841234456274897,0.043478260869565216,0.048404446038006456,0.00492618516844124,0.005797101449275362,0.01936177841520258,0.013564676965927218,,,,0.8695652173913043,0.6131229831480818,-0.25644223424322254,51.333333333333336,60.24740050197204,8.914067168638702
Ragnar Klavan,https://fbref.com/en/players/008a6e6d/Ragnar-Klavan,2017-2018,2018-2019,Premier League,Serie A,Liverpool,Cagliari,31,32,DF,1451.0,1230.0,0.062026188835286,0.0,-0.062026188835286,0.0,0.0,0.0,0.055823569951757405,0.007317073170731708,-0.0485064967810257,0.012405237767057202,0.03658536585365854,0.02418012808660134,,,,0.9303928325292901,1.024390243902439,0.09399741137314899,84.29359062715368,55.243902439024396,-29.04968818812928
Renato Sanches,https://fbref.com/en/players/032f894e/Renato-Sanches,2017-2018,2018-2019,Premier League,Bundesliga,Swansea City,Bayern Munich,19,20,MF,702.0,577.0,0.0,0.1559792027729636,0.1559792027729636,0.0,0.1559792027729636,0.1559792027729636,0.06410256410256411,0.14038128249566725,0.07627871839310314,0.038461538461538464,0.14038128249566725,0.10191974403412879,,,,4.102564102564103,4.055459272097053,-0.04710483046704983,65.0,68.78682842287695,3.786828422876951
Benjamin Henrichs,https://fbref.com/en/players/0a89e877/Benjamin-Henrichs,2017-2018,2018-2019,Bundesliga,Ligue 1,Leverkusen,Monaco,20,21,DF,1268.0,1824.0,0.0,0.049342105263157895,0.049342105263157895,0.07097791798107256,0.09868421052631579,0.027706292545243233,0.05678233438485805,0.01973684210526316,-0.03704549227959489,0.09227129337539433,0.11842105263157895,0.026149759256184624,,,,2.910094637223975,2.5657894736842106,-0.34430516353976426,69.91324921135647,63.651315789473685,-6.261933421882787
Eric Maxim Choupo-Moting,https://fbref.com/en/players/0e6bc38c/Eric-Maxim-Choupo-Moting,2017-2018,2018-2019,Premier League,Ligue 1,Stoke City,Paris S-G,28,29,"FW,MF",2314.0,802.0,0.19446845289541917,0.33665835411471323,0.14218990121929406,0.19446845289541917,0.0,-0.19446845289541917,0.22947277441659464,0.4713216957605985,0.24184892134400388,0.1205704407951599,0.03366583541147132,-0.08690460538368858,,,,2.800345721694036,2.4688279301745637,-0.33151779151947247,40.79948141745894,36.80798004987531,-3.9915013675836306
Jean Seri,https://fbref.com/en/players/10efd0e1/Jean-Seri,2017-2018,2018-2019,Ligue 1,Premier League,Nice,Fulham,26,27,MF,2615.0,2244.0,0.06883365200764818,0.040106951871657755,-0.028726700135990428,0.20650095602294455,0.08021390374331551,-0.12628705227962905,0.06539196940726577,0.03609625668449198,-0.029295712722773794,0.16864244741873805,0.1925133689839572,0.023870921565219166,,,,1.7552581261950286,1.0427807486631016,-0.7124773775319271,102.2868068833652,76.96524064171123,-25.32156624165397
Aymeric Laporte,https://fbref.com/en/players/119b9a8e/Aymeric-Laporte,2017-2018,2018-2019,La Liga,Premier League,Athletic Club,Manchester City,23,24,DF,1710.0,3057.0,0.0,0.08832188420019627,0.08832188420019627,0.05263157894736842,0.08832188420019627,0.03569030525282785,0.03684210526315789,0.08832188420019627,0.051479778937038374,0.04736842105263158,0.023552502453385672,-0.023815918599245908,,,,0.7368421052631579,2.7674190382728163,2.0305769330096584,62.578947368421055,97.7134445534838,35.13449718506274
Álvaro Morata,https://fbref.com/en/players/129af0db/Alvaro-Morata,2017-2018,2018-2019,Premier League,La Liga,Chelsea,Atlético Madrid,24,25,FW,2061.0,1083.0,0.48034934497816595,0.4986149584487535,0.018265613470587527,0.26200873362445415,0.08310249307479224,-0.17890624054966192,0.5676855895196506,0.5235457063711911,-0.04413988314845951,0.13537117903930132,0.05817174515235457,-0.07719943388694675,,,,2.3580786026200875,2.5761772853185594,0.21809868269847188,38.12227074235808,33.49030470914128,-4.631966033216806
Samu Castillejo,https://fbref.com/en/players/130a7a3f/Samu-Castillejo,2017-2018,2018-2019,La Liga,Serie A,Villarreal,Milan,22,23,"MF,FW",2074.0,1023.0,0.26036644165863065,0.3519061583577712,0.09153971669914057,0.21697203471552556,0.1759530791788856,-0.04101895553663995,0.195274831243973,0.14956011730205276,-0.045714713941920226,0.1909353905496625,0.15835777126099707,-0.03257761928866543,,,,4.513018322082932,4.926686217008798,0.4136678949258661,58.10511089681774,58.68035190615836,0.5752410093406155
Jérôme Roussillon,https://fbref.com/en/players/13203c45/Jerome-Roussillon,2017-2018,2018-2019,Ligue 1,Bundesliga,Montpellier,Wolfsburg,24,25,DF,1880.0,2461.0,0.14361702127659573,0.10971149939049167,-0.03390552188610406,0.14361702127659573,0.14628199918732224,0.002664977910726507,0.08138297872340425,0.06216984965461194,-0.019213129068792308,0.18191489361702126,0.0914262494920764,-0.09048864412494487,,,,3.4468085106382977,3.364485981308411,-0.0823225293298866,61.03723404255319,61.84071515644047,0.8034811138872797
Nampalys Mendy,https://fbref.com/en/players/1598599e/Nampalys-Mendy,2017-2018,2018-2019,Ligue 1,Premier League,Nice,Leicester City,25,26,MF,965.0,2092.0,0.0,0.0,0.0,0.09326424870466322,0.0,-0.09326424870466322,0.0,0.004302103250478012,0.004302103250478012,0.009326424870466322,0.008604206500956025,-0.0007222183695102975,,,,0.9326424870466322,0.6883365200764818,-0.2443059669701504,75.07772020725389,55.41108986615679,-19.666630341097097
Bernardo,https://fbref.com/en/players/17370b95/Bernardo,2017-2018,2018-2019,Bundesliga,Premier League,RB Leipzig,Brighton,22,23,DF,1350.0,1752.0,0.06666666666666667,0.0,-0.06666666666666667,0.06666666666666667,0.051369863013698634,-0.015296803652968032,0.04,0.020547945205479454,-0.019452054794520546,0.04666666666666666,0.03082191780821918,-0.015844748858447482,,,,2.066666666666667,2.3630136986301373,0.29634703196347045,74.0,66.52397260273973,-7.4760273972602675
Thibaut Courtois,https://fbref.com/en/players/1840e36d/Thibaut-Courtois,2017-2018,2018-2019,Premier League,La Liga,Chelsea,Real Madrid,25,26,GK,3150.0,2430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003703703703703704,0.003703703703703704,0.0,0.0,0.0,,,,0.0,0.0,0.0,35.714285714285715,33.22222222222222,-2.492063492063494
Jannik Vestergaard,https://fbref.com/en/players/1900032e/Jannik-Vestergaard,2017-2018,2018-2019,Bundesliga,Premier League,M'Gladbach,Southampton,24,25,DF,2880.0,2027.0,0.09375,0.0,-0.09375,0.0,0.0,0.0,0.059375,0.031080414405525406,-0.02829458559447459,0.028125,0.026640355204736062,-0.0014846447952639383,,,,0.3125,0.6216082881105082,0.30910828811050817,70.90625,54.168722249629994,-16.737527750370006
André Gomes,https://fbref.com/en/players/1961b2aa/Andre-Gomes,2017-2018,2018-2019,La Liga,Premier League,Barcelona,Everton,24,25,MF,635.0,1980.0,0.0,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456,0.045454545454545456,0.08503937007874016,0.07272727272727274,-0.012312097351467419,0.014173228346456694,0.02727272727272727,0.013099498926270577,,,,2.9763779527559056,2.227272727272727,-0.7491052254831785,61.653543307086615,65.36363636363636,3.710093056549745
Lucas Digne,https://fbref.com/en/players/1b84dbe1/Lucas-Digne,2017-2018,2018-2019,La Liga,Premier League,Barcelona,Everton,24,25,DF,704.0,2965.0,0.0,0.12141652613827994,0.12141652613827994,0.2556818181818182,0.12141652613827994,-0.13426529204353824,0.03835227272727273,0.03946037099494098,0.0011080982676682505,0.23011363636363638,0.21551433389544689,-0.014599302468189496,,,,2.8125,2.489038785834739,-0.3234612141652611,82.32954545454545,75.97639123102867,-6.353154223516782
Erik Pieters,https://fbref.com/en/players/1ef37668/Erik-Pieters,2017-2018,2018-2019,Premier League,Ligue 1,Stoke City,Amiens,28,29,DF,2718.0,1261.0,0.0,0.07137192704203013,0.07137192704203013,0.033112582781456956,0.07137192704203013,0.038259344260573175,0.003311258278145696,0.07850911974623316,0.07519786146808746,0.049668874172185434,0.04996034892942109,0.000291474757235656,,,,1.1589403973509933,1.4274385408406027,0.26849814348960943,56.026490066225165,66.23314829500397,10.206658228778807
M'Baye Niang,https://fbref.com/en/players/2054d037/MBaye-Niang,2017-2018,2018-2019,Serie A,Ligue 1,Torino,Rennes,22,23,FW,1532.0,1793.0,0.2349869451697128,0.5521472392638037,0.3171602940940909,0.1174934725848564,0.2007808142777468,0.0832873416928904,0.27610966057441255,0.39152258784160626,0.11541292726719371,0.06462140992167102,0.0853318460680424,0.020710436146371372,,,,4.640992167101827,3.1622978248745124,-1.4786943422273149,46.174934725848566,34.7350808700502,-11.439853855798368
Ganso,https://fbref.com/en/players/23593121/Ganso,2017-2018,2018-2019,La Liga,Ligue 1,Sevilla,Amiens,27,28,MF,519.0,520.0,0.3468208092485549,0.0,-0.3468208092485549,0.0,0.34615384615384615,0.34615384615384615,0.24277456647398843,0.06923076923076923,-0.1735437972432192,0.06936416184971099,0.1903846153846154,0.12102045353490441,,,,1.2138728323699421,1.2115384615384615,-0.002334370831480692,70.40462427745665,64.73076923076923,-5.673855046687422
Luciano Vietto,https://fbref.com/en/players/2513a588/Luciano-Vietto,2017-2018,2018-2019,La Liga,Premier League,Valencia,Fulham,23,24,FW,528.0,986.0,0.34090909090909094,0.09127789046653144,-0.2496312004425595,0.17045454545454547,0.36511156186612576,0.19465701641158029,0.10227272727272728,0.2647058823529412,0.1624331550802139,0.23863636363636365,0.19168356997971603,-0.04695279365664762,,,,2.2159090909090913,3.0121703853955375,0.7962612944864462,43.977272727272734,48.28600405679513,4.308731329522395
Paul Baysse,https://fbref.com/en/players/2515040a/Paul-Baysse,2017-2018,2018-2019,La Liga,Ligue 1,Málaga,Caen,29,30,DF,1239.0,1788.0,0.07263922518159806,0.0,-0.07263922518159806,0.0,0.0,0.0,0.07990314769975787,0.04026845637583893,-0.03963469132391894,0.0,0.025167785234899327,0.025167785234899327,,,,0.0,0.25167785234899326,0.25167785234899326,51.06537530266343,52.95302013422819,1.8876448315647565
Bernd Leno,https://fbref.com/en/players/2628fd2b/Bernd-Leno,2017-2018,2018-2019,Bundesliga,Premier League,Leverkusen,Arsenal,25,26,GK,2970.0,2836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006060606060606061,0.0,-0.006060606060606061,,,,0.0,0.0,0.0,39.54545454545455,37.70098730606488,-1.8444672393896653
Kepa Arrizabalaga,https://fbref.com/en/players/28d596a0/Kepa-Arrizabalaga,2017-2018,2018-2019,La Liga,Premier League,Athletic Club,Chelsea,22,23,GK,2700.0,3240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,-0.01,,,,0.0,0.0,0.0,37.13333333333333,33.52777777777778,-3.6055555555555543
Michy Batshuayi,https://fbref.com/en/players/2973d8ff/Michy-Batshuayi,2017-2018,2018-2019,Bundesliga,Premier League,Dortmund,Crystal Palace,23,24,FW,839.0,750.0,0.7508939213349225,0.6,-0.15089392133492252,0.1072705601907032,0.0,-0.1072705601907032,0.7830750893921334,0.48,-0.30307508939213346,0.03218116805721096,0.012,-0.02018116805721096,,,,0.536352800953516,1.5599999999999998,1.0236471990464837,29.284862932061976,29.999999999999996,0.71513706793802
Aarón Martín,https://fbref.com/en/players/2f3e911a/Aaron-Martin,2017-2018,2018-2019,La Liga,Bundesliga,Espanyol,Mainz 05,20,21,DF,2815.0,2878.0,0.0,0.0,0.0,0.0,0.09381514940931202,0.09381514940931202,0.003197158081705151,0.02501737317581654,0.02182021509411139,0.08952042628774422,0.15323141070187632,0.0637109844141321,,,,2.0461811722912966,3.5962473940236275,1.5500662217323309,54.19182948490231,63.888116747741485,9.696287262839178
Maxime Le Marchand,https://fbref.com/en/players/321a71a7/Maxime-Le-Marchand,2017-2018,2018-2019,Ligue 1,Premier League,Nice,Fulham,27,28,DF,2534.0,2250.0,0.0,0.0,0.0,0.10655090765588003,0.04,-0.06655090765588004,0.024861878453038673,0.012,-0.012861878453038673,0.021310181531176007,0.027999999999999997,0.00668981846882399,,,,1.5982636148382006,0.64,-0.9582636148382006,80.09076558800317,71.76,-8.33076558800316
Cesc Fàbregas,https://fbref.com/en/players/33508c78/Cesc-Fabregas,2017-2018,2018-2019,Premier League,Ligue 1,Chelsea,Monaco,30,31,MF,2307.0,966.0,0.07802340702210664,0.09316770186335405,0.015144294841247408,0.15604681404421328,0.0,-0.15604681404421328,0.09362808842652795,0.13975155279503107,0.04612346436850312,0.26527958387516254,0.09316770186335405,-0.1721118820118085,,,,2.1456436931079326,1.1180124223602486,-1.027631270747684,99.59687906371911,78.26086956521739,-21.336009498501724
Gerard Deulofeu,https://fbref.com/en/players/39583cfd/Gerard-Deulofeu,2017-2018,2018-2019,La Liga,Premier League,Barcelona,Watford,23,24,"MF,FW",503.0,2066.0,0.17892644135188868,0.4356243949661181,0.2566979536142294,0.17892644135188868,0.21781219748305905,0.038885756131170374,0.2147117296222664,0.34849951597289447,0.13378778635062807,0.26838966202783304,0.1786060019361084,-0.08978366009172464,,,,5.725646123260438,4.356243949661181,-1.3694021735992568,63.51888667992048,46.69893514036786,-16.81995153955262
Edimilson Fernandes,https://fbref.com/en/players/3bb625ac/Edimilson-Fernandes,2017-2018,2018-2019,Premier League,Serie A,West Ham,Fiorentina,21,22,"MF,DF",845.0,1970.0,0.0,0.09137055837563451,0.09137055837563451,0.10650887573964496,0.0,-0.10650887573964496,0.03195266272189349,0.054822335025380704,0.022869672303487215,0.03195266272189349,0.05939086294416244,0.02743820022226895,,,,1.2781065088757395,1.598984771573604,0.32087826269786457,40.79289940828402,50.80203045685279,10.009131048568769
