player,moving_from,moving_to,fee,date,register_country
Emmanuel Agbadou,Wolverhampton Wanderers,Beşiktaş,Undisclosed,6 February 2026,England
Jhon Arias,Wolverhampton Wanderers,Palmeiras,Undisclosed,7 February 2026,England
Onel Hernández,Unattached,Port Vale,Free,9 February 2026,England
Unattached,Port Vale,Free,,Grant Ward,England
Matt Phillips,Unattached,Stevenage,Free,13 February 2026,England
Zain Silcott-Duberry,Unattached,Sheffield Wednesday,Free,26 February 2026,England
Trent Koné-Doherty,Liverpool,Molde,Free,27 February 2026,England
Norwich City,Toronto FC,£15.5m,,Josh Sargent,England
Angus MacDonald,Unattached,Barrow,Free,5 March 2026,England
Kaiyne Woolery,Unattached,Tranmere Rovers,Free,20 March 2026,England
Ryan Watson,Unattached,Tranmere Rovers,Free,26 March 2026,England
Nathan Redmond,Unattached,Blackburn Rovers,Free,27 March 2026,England
Vito Mannone,Unattached,Crawley Town,Free,10 June 2026,England
Dipo Akinyemi,Derry City,York City,Undisclosed,15 June 2026,England
Ajax,Ipswich Town,Undisclosed,,Chuba Akpom,England
Yverdon-Sport,Blackburn Rovers,Undisclosed,,Moussa Baradji,England
Walsall,Wigan Athletic,Undisclosed,,Connor Barrett,England
Burton Albion,Bradford City,Undisclosed,,Jake Beesley,England
LASK,Aston Villa,£4m,,Modou Kéba Cissé,England
Olympiacos,Brighton & Hove Albion,£11m,,Costinha,England
Barrow,Shrewsbury Town,Undisclosed,,Isaac Fletcher,England
Barnet,Stockport County,Undisclosed,,Ryan Glover,England
Reims,Newcastle United,£18.5m,,Ewen Jaouen,England
Reims,Ipswich Town,Undisclosed,,Cédric Kipré,England
Mallorca,Southampton,Undisclosed,,Cyle Larin,England
Norwich City,Southampton,Undisclosed,,George Long,England
Benfica,Burnley,£20.8m,,Florentino Luís,England
Notts County,Oldham Athletic,Undisclosed,,Ollie Norburn,England
Boston United,York City,Undisclosed,,Frankie Maguire,England
Bayern Munich,Southampton,Undisclosed,,Daniel Peretz,England
Bradford City,Wigan Athletic,Undisclosed,,Max Power,England
Brighton & Hove Albion,Middlesbrough,Undisclosed,,Jeremy Sarmiento,England
Red Bull Salzburg,Brentford,£12m,,Jannik Schuster,England
Barnet,Cambridge United,Undisclosed,,Callum Stead,England
Copenhagen,Cardiff City,£1.5m,,Nathan Trott,England
Kilmarnock,Bolton Wanderers,Undisclosed,,David Watson,England
AIK,Brighton & Hove Albion,£21.5m,,Zadok Yohanna,England
Jenson Metcalfe,Bradford City,Millwall,Undisclosed,16 June 2026,England
Edon Pruti,Sutton United,Grimsby Town,Undisclosed,17 June 2026,England
Falkirk,West Bromwich Albion,Undisclosed,,Barney Stewart,England
Harrison Jones,Sunderland,Peterborough United,Undisclosed,18 June 2026,England
Barrow,Cheltenham Town,Undisclosed,,Charlie McCann,England
Chelsea,West Bromwich Albion,£4m,,Jimmy-Jay Morgan,England
Osasuna,Liverpool,£34.5m,,Víctor Muñoz,England
Hemel Hempstead Town,Barnet,Undisclosed,,Isiah Noel-Williams,England
Brighton & Hove Albion,Tottenham Hotspur,£52m,,Jan Paul van Hecke,England
Jack Maskell,Darlington,Barnet,Undisclosed,19 June 2026,England
Barnsley,Bradford City,Undisclosed,,Adam Phillips,England
Swansea City,Sheffield Wednesday,Undisclosed,,Ricardo Santos,England
Barnsley,Port Vale,Undisclosed,,Jackson Smith,England
Sam Field,Queens Park Rangers,Norwich City,Undisclosed,20 June 2026,England
NAC Breda,Queens Park Rangers,Undisclosed,,Boy Kemper,England
Deportivo La Guaira,West Ham United,Undisclosed,,Keiber Lamadrid,England
Bobby Clark,Red Bull Salzburg,Derby County,£6m,22 June 2026,England
Sutton United,Chesterfield,Undisclosed,,Junior Eccleston,England
Yahya Bamba,Forest Green Rovers,Newport County,Undisclosed,23 June 2026,England
Colchester United,Reading,Undisclosed,,Kyreece Lisbie,England
Southport,Accrington Stanley,Undisclosed,,Tom Moore,England
Chelmsford City,West Ham United,Free,,Jett Murphy,England
Port Vale,Cheltenham Town,Undisclosed,,Jordan Shipley,England
FC St. Pauli,Leyton Orient,Undisclosed,,Fin Stevens,England
Armando Dobra,Chesterfield,Leyton Orient,Undisclosed,24 June 2026,England
Oxford United,West Bromwich Albion,Undisclosed,,Matt Ingram,England
Collin Andeng Ndi,Southend United,Peterborough United,Undisclosed,25 June 2026,England
Sheffield United,Norwich City,Undisclosed,,Andre Brooks,England
Pogoń Szczecin,Bristol City,Undisclosed,,Sam Greenwood,England
Bayer Leverkusen,Arsenal,£34.5m,,Piero Hincapié,England
Wigan Athletic,Bristol City,Undisclosed,,Sam Tickle,England
Zak Johnson,Sunderland,York City,Undisclosed,26 June 2026,England
Newport County,Bristol Rovers,Undisclosed,,Bobby Kamwa,England
Leyton Orient,Wigan Athletic,Undisclosed,,Sonny Perkins,England
Volendam,Bristol City,Undisclosed,,Gibson Yah,England
Jonah Kusi-Asare,Bayern Munich,Fulham,Undisclosed,27 June 2026,England
La Louvière,Sheffield Wednesday,Undisclosed,,Jordi Liongola,England
Stoke City,Notts County,Undisclosed,,Darius Lipsiuc,England
St Johnstone,Walsall,Undisclosed,,Sven Sprangler,England
