player,target,actual,predicted,error,model
Pierre-Emerick Aubameyang,goals_p90,0.8515,0.6593,0.1922,lgbm
Sead Kolašinac,goals_p90,0.0838,0.0657,0.0182,lgbm
Shkodran Mustafi,goals_p90,0.1188,0.0565,0.0623,lgbm
Granit Xhaka,goals_p90,0.0276,0.0562,0.0286,lgbm
Kevin Danso,goals_p90,0.1629,0.0292,0.1337,lgbm
Philippe Coutinho,goals_p90,0.5556,0.4692,0.0864,lgbm
Thiago Alcántara,goals_p90,0.1443,0.1749,0.0306,lgbm
James Rodríguez,goals_p90,0.3886,0.4099,0.0212,lgbm
Pascal Groß,goals_p90,0.2152,0.2337,0.0186,lgbm
Markus Suttner,goals_p90,0.0,0.0277,0.0277,lgbm
Manuel Akanji,goals_p90,0.0,0.0464,0.0464,lgbm
Pierre-Emerick Aubameyang,goals_p90,0.8263,0.7478,0.0785,lgbm
Michy Batshuayi,goals_p90,0.7509,0.647,0.1039,lgbm
Sokratis Papastathopoulos,goals_p90,0.0759,0.0523,0.0236,lgbm
Christian Pulisic,goals_p90,0.1564,0.1738,0.0174,lgbm
Jadon Sancho,goals_p90,0.1304,0.1615,0.0311,lgbm
André Schürrle,goals_p90,0.0728,0.2187,0.1459,lgbm
Andriy Yarmolenko,goals_p90,0.2599,0.3368,0.077,lgbm
Sébastien Haller,goals_p90,0.3451,0.3857,0.0406,lgbm
Jetro Willems,goals_p90,0.0,0.0276,0.0276,lgbm
Jonjoe Kenny,goals_p90,0.0,0.0253,0.0253,lgbm
Robin Koch,goals_p90,0.0938,0.0405,0.0533,lgbm
Çağlar Söyüncü,goals_p90,0.0418,0.0398,0.002,lgbm
Niclas Füllkrug,goals_p90,0.5279,0.3828,0.1451,lgbm
Ondrej Duda,goals_p90,0.121,0.0746,0.0463,lgbm
Lukas Rupp,goals_p90,0.2328,0.1905,0.0423,lgbm
João Cancelo,goals_p90,0.0486,0.0621,0.0134,lgbm
Ivan Perišić,goals_p90,0.2988,0.2987,0.0001,lgbm
Stephan Lichtsteiner,goals_p90,0.0,0.0397,0.0397,lgbm
Aleksandar Dragović,goals_p90,0.0,0.0381,0.0381,lgbm
Leon Bailey,goals_p90,0.3657,0.2518,0.1139,lgbm
Kai Havertz,goals_p90,0.1259,0.195,0.0691,lgbm
Bernd Leno,goals_p90,0.0,0.0037,0.0037,lgbm
Emre Can,goals_p90,0.1291,0.1009,0.0282,lgbm
Philippe Coutinho,goals_p90,0.5681,0.5538,0.0143,lgbm
Sadio Mané,goals_p90,0.411,0.4264,0.0154,lgbm
Jannik Vestergaard,goals_p90,0.0938,0.046,0.0478,lgbm
Leroy Sané,goals_p90,0.3721,0.4026,0.0306,lgbm
Moussa Niakhate,goals_p90,0.0,0.0351,0.0351,lgbm
Christopher Nkunku,goals_p90,0.5705,0.4466,0.1239,lgbm
Bernardo,goals_p90,0.0667,0.0395,0.0271,lgbm
Naby Keïta,goals_p90,0.2752,0.194,0.0813,lgbm
Ibrahima Konaté,goals_p90,0.0,0.0376,0.0376,lgbm
Marcel Sabitzer,goals_p90,0.1508,0.1623,0.0115,lgbm
Timo Werner,goals_p90,0.4691,0.4716,0.0025,lgbm
Nabil Bentaleb,goals_p90,0.3561,0.1259,0.2302,lgbm
Thilo Kehrer,goals_p90,0.1142,0.0469,0.0672,lgbm
Weston McKennie,goals_p90,0.0,0.0367,0.0367,lgbm
Max Meyer,goals_p90,0.0,0.0318,0.0318,lgbm
Maya Yoshida,goals_p90,0.0878,0.0341,0.0537,lgbm
Eric Maxim Choupo-Moting,goals_p90,0.1945,0.1545,0.04,lgbm
Kevin Wimmer,goals_p90,0.0,0.0236,0.0236,lgbm
Orel Mangala,goals_p90,0.0,0.0291,0.0291,lgbm
Mike van der Hoorn,goals_p90,0.0463,0.0272,0.0191,lgbm
Eric Dier,goals_p90,0.0,0.0451,0.0451,lgbm
Harry Kane,goals_p90,0.8778,0.6567,0.2211,lgbm
Edimilson Fernandes,goals_p90,0.0,0.0563,0.0563,lgbm
Divock Origi,goals_p90,0.2745,0.356,0.0815,lgbm
Pierre-Emerick Aubameyang,goals_p90,0.7263,0.5645,0.1618,lgbm
Mattéo Guendouzi,goals_p90,0.0,0.0526,0.0526,lgbm
Sead Kolašinac,goals_p90,0.0,0.1004,0.1004,lgbm
Bernd Leno,goals_p90,0.0,0.0022,0.0022,lgbm
Stephan Lichtsteiner,goals_p90,0.0,0.0293,0.0293,lgbm
Shkodran Mustafi,goals_p90,0.0689,0.0413,0.0277,lgbm
Sokratis Papastathopoulos,goals_p90,0.0409,0.0448,0.0038,lgbm
Granit Xhaka,goals_p90,0.1441,0.0679,0.0762,lgbm
Kevin Danso,goals_p90,0.0722,0.032,0.0402,lgbm
Philippe Coutinho,goals_p90,0.223,0.2407,0.0177,lgbm
Thiago Alcántara,goals_p90,0.0748,0.0737,0.0011,lgbm
James Rodríguez,goals_p90,0.5536,0.4564,0.0972,lgbm
Bernardo,goals_p90,0.0,0.0288,0.0288,lgbm
Pascal Groß,goals_p90,0.1448,0.1952,0.0503,lgbm
Michy Batshuayi,goals_p90,0.6,0.4237,0.1763,lgbm
Max Meyer,goals_p90,0.0636,0.0878,0.0242,lgbm
Manuel Akanji,goals_p90,0.0408,0.0582,0.0174,lgbm
Jacob Bruun Larsen,goals_p90,0.1423,0.2431,0.1008,lgbm
Christian Pulisic,goals_p90,0.3863,0.3539,0.0324,lgbm
Jadon Sancho,goals_p90,0.4388,0.3681,0.0707,lgbm
Sébastien Haller,goals_p90,0.6187,0.4884,0.1303,lgbm
Jetro Willems,goals_p90,0.0,0.0644,0.0644,lgbm
Jonjoe Kenny,goals_p90,0.0,0.0262,0.0262,lgbm
Edimilson Fernandes,goals_p90,0.0914,0.0772,0.0141,lgbm
Robin Koch,goals_p90,0.0473,0.0395,0.0078,lgbm
André Schürrle,goals_p90,0.3291,0.2648,0.0642,lgbm
Ryan Sessegnon,goals_p90,0.0783,0.0743,0.004,lgbm
Felipe,goals_p90,0.1644,0.0405,0.1239,lgbm
Niclas Füllkrug,goals_p90,0.1619,0.1682,0.0063,lgbm
Kevin Wimmer,goals_p90,0.0,0.0385,0.0385,lgbm
Ondrej Duda,goals_p90,0.3863,0.1741,0.2122,lgbm
Joelinton,goals_p90,0.2958,0.252,0.0438,lgbm
Reiss Nelson,goals_p90,0.9798,0.8033,0.1765,lgbm
Erik Durm,goals_p90,0.0,-0.0019,0.0019,lgbm
Ivan Perišić,goals_p90,0.2666,0.2999,0.0333,lgbm
Emre Can,goals_p90,0.1988,0.1011,0.0976,lgbm
João Cancelo,goals_p90,0.0457,0.0702,0.0244,lgbm
Leon Bailey,goals_p90,0.2351,0.2792,0.0441,lgbm
Aleksandar Dragović,goals_p90,0.1348,0.0536,0.0812,lgbm
Kai Havertz,goals_p90,0.5287,0.3738,0.1549,lgbm
